title	author	status	started	finished
The Marriage of Heaven and Hell	William Blake	read	--	Thu Feb 07 2013 16:57:00 GMT-0600 (Central Standard Time)
The Marriage of Heaven and Hell: In Full Color	TKTK	read	Wed Jan 30 2013 13:46:00 GMT-0600 (Central Standard Time)	Thu Feb 07 2013 16:57:00 GMT-0600 (Central Standard Time)
At Swim-Two-Birds	TKTK	read	Wed Jan 30 2013 13:46:22 GMT-0600 (Central Standard Time)	Wed Feb 06 2013 14:08:55 GMT-0600 (Central Standard Time)
Murphy	Samuel Beckett	read	Thu Jan 17 2013 15:01:25 GMT-0600 (Central Standard Time)	Wed Jan 30 2013 13:44:53 GMT-0600 (Central Standard Time)
Crome Yellow	Aldous Huxley	read	Sat Jan 05 2013 18:13:41 GMT-0600 (Central Standard Time)	Thu Jan 17 2013 14:59:40 GMT-0600 (Central Standard Time)
This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life	David Foster Wallace	read	Wed Jan 16 2013 22:30:46 GMT-0600 (Central Standard Time)	Wed Jan 16 2013 22:30:46 GMT-0600 (Central Standard Time)
House of Leaves	Mark Z. Danielewski	read	Sat Jan 05 2013 21:46:39 GMT-0600 (Central Standard Time)	Sat Jan 05 2013 21:46:39 GMT-0600 (Central Standard Time)
The Fountain	Darren Aronofsky	read	Sat Jan 05 2013 19:06:48 GMT-0600 (Central Standard Time)	Sat Jan 05 2013 19:06:48 GMT-0600 (Central Standard Time)
Hunger	TKTK	read	Tue Nov 06 2012 16:37:58 GMT-0600 (Central Standard Time)	Sat Jan 05 2013 02:00:00 GMT-0600 (Central Standard Time)
Moby-Dick or, the Whale	Herman Melville	read	Wed Oct 10 2012 02:00:00 GMT-0500 (Central Daylight Time)	Fri Nov 02 2012 02:00:00 GMT-0500 (Central Daylight Time)
Into Thin Air: A Personal Account of the Mount Everest Disaster	TKTK	read	Wed Oct 10 2012 23:17:31 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:17:31 GMT-0500 (Central Daylight Time)
White Noise	Don DeLillo	read	Wed Oct 10 2012 23:17:11 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:17:11 GMT-0500 (Central Daylight Time)
Much Ado About Nothing	William Shakespeare	read	Wed Oct 10 2012 23:16:23 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:16:23 GMT-0500 (Central Daylight Time)
A Midsummer Night's Dream	William Shakespeare	read	Wed Oct 10 2012 23:16:14 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:16:14 GMT-0500 (Central Daylight Time)
Timequake	Kurt Vonnegut	read	Wed Oct 10 2012 23:13:36 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:13:36 GMT-0500 (Central Daylight Time)
Slaughterhouse-Five	TKTK	read	Wed Oct 10 2012 23:13:26 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:13:26 GMT-0500 (Central Daylight Time)
The Things They Carried	Tim O'Brien	read	Wed Oct 10 2012 23:12:52 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:12:52 GMT-0500 (Central Daylight Time)
Fear and Trembling	Søren Kierkegaard	read	Wed Oct 10 2012 23:11:30 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:11:30 GMT-0500 (Central Daylight Time)
Point Counter Point	Aldous Huxley	read	Wed Oct 10 2012 23:11:08 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:11:08 GMT-0500 (Central Daylight Time)
The Beautiful and Damned	F. Scott Fitzgerald	read	Wed Oct 10 2012 23:10:37 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:10:37 GMT-0500 (Central Daylight Time)
The Alchemist	Paulo Coelho	read	Wed Oct 10 2012 23:09:53 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:09:53 GMT-0500 (Central Daylight Time)
Fahrenheit 451	Ray Bradbury	read	Wed Oct 10 2012 23:09:42 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:09:42 GMT-0500 (Central Daylight Time)
The Road	Cormac McCarthy	read	Wed Oct 10 2012 23:09:38 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:09:38 GMT-0500 (Central Daylight Time)
Lord of the Flies	William Golding	read	Wed Oct 10 2012 23:09:02 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:09:02 GMT-0500 (Central Daylight Time)
Brave New World	Aldous Huxley	read	Wed Oct 10 2012 23:08:30 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:08:30 GMT-0500 (Central Daylight Time)
Cat's Cradle	Kurt Vonnegut	read	Wed Oct 10 2012 23:07:56 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:07:56 GMT-0500 (Central Daylight Time)
Animal Farm	George Orwell	read	Wed Oct 10 2012 23:07:54 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:07:54 GMT-0500 (Central Daylight Time)
1984	TKTK	read	Wed Oct 10 2012 23:07:47 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:07:47 GMT-0500 (Central Daylight Time)
The Catcher in the Rye	J.D. Salinger	read	Wed Oct 10 2012 23:07:25 GMT-0500 (Central Daylight Time)	Wed Oct 10 2012 23:07:25 GMT-0500 (Central Daylight Time)
